<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
03/01/19,11:00:00,154.1300000,155.2500000,154.1100000,154.8000000,2375840
03/01/19,12:00:00,154.8000000,155.8000000,154.6700000,155.4100000,1931260
03/01/19,13:00:00,155.4100000,155.6500000,155.0700000,155.4100000,1004060
03/01/19,14:00:00,155.3800000,156.1000000,155.2600000,155.9300000,836790
03/01/19,15:00:00,155.9400000,156.3500000,155.8100000,156.3000000,899610
03/01/19,16:00:00,156.2700000,156.9400000,156.1600000,156.6200000,1233270
03/01/19,17:00:00,156.6600000,157.3000000,156.5100000,157.2200000,1433050
03/01/19,18:00:00,157.2200000,157.3000000,156.2500000,156.7300000,1559670
03/01/19,19:00:00,156.6700000,156.6900000,155.5200000,156.2800000,2882980
04/01/19,11:00:00,156.7400000,157.9400000,156.7100000,157.4600000,1666910
04/01/19,12:00:00,157.4500000,157.8900000,156.8200000,157.6300000,2539740
04/01/19,13:00:00,157.6100000,157.8700000,157.4800000,157.7000000,729570
04/01/19,14:00:00,157.6900000,157.8100000,157.5000000,157.6300000,474750
04/01/19,15:00:00,157.5900000,158.1600000,157.5700000,157.7000000,978220
04/01/19,16:00:00,157.7400000,157.7400000,157.0600000,157.4000000,1346820
04/01/19,17:00:00,157.4000000,157.4900000,156.7900000,157.2300000,1606310
04/01/19,18:00:00,157.2000000,157.8600000,156.8700000,157.6500000,1527290
04/01/19,19:00:00,157.6500000,159.1500000,157.6400000,159.1500000,3662490
08/01/19,11:00:00,158.6500000,158.9400000,158.2600000,158.6300000,2402970
08/01/19,12:00:00,158.6300000,158.7100000,157.1400000,157.3200000,3860090
08/01/19,13:00:00,157.3200000,157.7000000,156.5600000,156.5700000,1560960
08/01/19,14:00:00,156.6100000,157.1400000,156.5500000,157.0300000,1116150
08/01/19,15:00:00,156.9800000,157.4000000,156.9100000,157.0200000,867610
08/01/19,16:00:00,157.0200000,157.3400000,156.9200000,157.1700000,873080
08/01/19,17:00:00,157.1700000,157.5200000,157.0500000,157.1300000,1069810
08/01/19,18:00:00,157.0800000,157.3900000,156.9000000,156.9700000,1743420
08/01/19,19:00:00,156.9600000,158.2600000,156.9500000,158.2600000,3458420
09/01/19,11:00:00,158.8800000,159.5000000,158.4000000,159.4300000,2044830
09/01/19,12:00:00,159.4900000,159.5400000,158.9300000,159.4500000,1116190
