<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
07/01/19,00:00:00,158.6500000,161.1300000,156.5500000,161.0000000,73587560
14/01/19,00:00:00,159.8400000,161.5000000,155.6000000,159.2000000,88543090
21/01/19,00:00:00,159.0200000,162.8200000,156.5700000,162.8200000,100621910
28/01/19,00:00:00,162.4000000,166.4900000,159.0000000,163.3300000,125417240
04/02/19,00:00:00,163.3700000,165.4300000,158.1100000,159.8000000,77609830
11/02/19,00:00:00,160.4300000,164.2800000,155.1500000,159.0400000,118789850
18/02/19,00:00:00,159.2500000,159.9000000,153.0100000,154.6400000,87265820
25/02/19,00:00:00,155.0100000,159.5500000,152.8200000,156.7100000,109113860
04/03/19,00:00:00,156.7500000,156.7600000,151.5800000,151.9000000,74081640
11/03/19,00:00:00,151.9000000,154.5600000,150.5100000,154.5600000,106754570
18/03/19,00:00:00,154.1700000,156.7000000,151.8500000,152.2900000,110947210
25/03/19,00:00:00,151.2200000,152.9100000,148.8300000,149.6100000,110768120
01/04/19,00:00:00,150.2700000,159.5000000,149.9200000,158.6000000,147514130
08/04/19,00:00:00,158.8700000,164.9500000,157.9000000,159.1200000,179089610
15/04/19,00:00:00,160.0000000,165.4000000,157.6200000,162.5700000,97278920
22/04/19,00:00:00,163.2100000,164.3400000,158.5800000,161.0000000,89117140
29/04/19,00:00:00,161.2000000,166.9800000,160.6800000,166.3100000,96406690
06/05/19,00:00:00,164.9800000,166.2700000,162.6200000,163.6100000,68632790
13/05/19,00:00:00,163.5400000,203.4500000,162.6500000,198.8900000,483566220
20/05/19,00:00:00,200.2000000,212.1800000,198.3000000,204.5000000,236296900
27/05/19,00:00:00,204.2500000,216.4500000,200.8400000,215.1000000,252858300
03/06/19,00:00:00,214.4000000,251.6500000,213.5000000,230.5000000,465698460
10/06/19,00:00:00,230.9600000,237.6300000,230.4000000,231.5100000,136061990
17/06/19,00:00:00,231.5500000,235.4200000,228.3000000,229.0900000,188038460
24/06/19,00:00:00,229.5400000,235.4700000,229.4700000,232.8300000,127313370
01/07/19,00:00:00,234.1600000,256.4000000,234.1000000,250.8900000,235659040
08/07/19,00:00:00,250.1100000,252.9300000,244.0000000,245.5000000,169150870
15/07/19,00:00:00,246.9800000,248.0800000,215.3700000,216.0000000,176748530
22/07/19,00:00:00,215.9600000,236.0000000,206.0000000,234.2300000,461855360
29/07/19,00:00:00,234.1200000,239.6400000,227.9100000,227.9100000,229995240
05/08/19,00:00:00,225.9800000,233.5400000,222.3000000,229.9600000,181330850
12/08/19,00:00:00,231.0100000,232.9700000,224.0800000,224.7100000,144201680
19/08/19,00:00:00,226.0000000,233.9800000,223.6500000,229.3500000,129648470
26/08/19,00:00:00,228.8000000,235.2500000,223.0000000,232.1500000,168788320
02/09/19,00:00:00,231.9300000,238.1700000,229.9600000,234.4900000,122136740
09/09/19,00:00:00,235.0100000,235.6200000,230.8000000,232.5000000,114546690
16/09/19,00:00:00,233.9200000,235.1700000,228.5000000,230.4100000,135908860
23/09/19,00:00:00,230.5100000,233.7000000,225.7600000,229.0100000,115161770
30/09/19,00:00:00,229.0300000,229.4600000,220.7900000,221.6600000,126982290
07/10/19,00:00:00,221.8600000,227.7000000,220.6800000,227.3700000,92430180
14/10/19,00:00:00,227.3800000,228.9000000,224.0600000,228.0000000,88531710
21/10/19,00:00:00,228.2400000,247.4000000,227.3100000,246.7100000,188278060
28/10/19,00:00:00,247.3400000,267.4000000,241.4000000,263.7900000,344016010
04/11/19,00:00:00,266.0200000,272.6800000,258.9100000,266.0000000,163894910
11/11/19,00:00:00,265.0000000,265.4500000,244.8000000,248.0100000,408918970
18/11/19,00:00:00,250.0100000,259.8000000,244.3200000,251.9900000,631044630
25/11/19,00:00:00,252.1200000,257.5400000,251.3500000,257.5400000,238571040
02/12/19,00:00:00,258.4500000,263.4000000,244.7700000,247.8300000,311157880
09/12/19,00:00:00,247.9800000,254.6600000,246.5000000,249.5000000,218831450
16/12/19,00:00:00,249.9000000,256.5800000,249.2000000,255.5000000,187828320
23/12/19,00:00:00,251.5000000,257.7100000,251.1100000,257.1100000,107779550
30/12/19,00:00:00,257.0900000,261.9000000,254.7100000,259.0000000,57800290
06/01/20,00:00:00,258.9100000,258.9600000,251.2000000,251.9000000,115414100
13/01/20,00:00:00,252.5000000,256.6000000,247.7500000,255.3900000,198560430
20/01/20,00:00:00,255.6500000,256.1000000,235.2800000,237.9500000,238305040
27/01/20,00:00:00,235.0100000,237.5900000,226.5700000,226.7000000,354660190
03/02/20,00:00:00,223.8100000,236.0000000,223.8000000,229.1100000,252771060
10/02/20,00:00:00,228.5800000,239.8000000,224.4100000,232.5000000,305441710
17/02/20,00:00:00,233.4000000,235.7500000,229.8000000,232.0000000,138892210
24/02/20,00:00:00,227.9900000,230.0600000,200.5700000,202.6500000,366955320
02/03/20,00:00:00,207.9900000,211.9900000,185.1300000,188.2700000,531416710
09/03/20,00:00:00,169.4500000,185.8400000,161.0100000,166.1000000,605207250
16/03/20,00:00:00,163.5600000,184.6900000,158.1700000,176.2600000,591202880
23/03/20,00:00:00,171.0300000,186.9000000,168.0400000,174.5000000,422091860
30/03/20,00:00:00,171.9900000,177.6300000,170.5000000,176.4400000,47795640
