,IBM,IBM,IBM,IBM,IBM
,open,high,low,close,volume
time,,,,,
2020-02-27 09:45:00-05:00,136.6,136.6,136.49,136.495,982
2020-02-27 09:46:00-05:00,136.34,136.34,136.33,136.33,200
2020-02-27 09:47:00-05:00,136.36,136.41,136.28,136.28,104
2020-02-27 09:48:00-05:00,136.185,136.66,136.185,136.61,1100
2020-02-27 09:49:00-05:00,136.74,136.86,136.67,136.78,1103
2020-02-27 09:50:00-05:00,136.84,136.99,136.77,136.77,1100
2020-02-27 09:51:00-05:00,136.65,136.66,136.65,136.66,108
2020-02-27 09:52:00-05:00,136.985,136.985,136.95,136.95,600
2020-02-27 09:54:00-05:00,136.97,137.32,136.97,137.32,1550
2020-02-27 09:55:00-05:00,137.26,137.33,137.26,137.33,200
2020-02-27 09:56:00-05:00,137.19,137.19,137.12,137.12,175
2020-02-27 09:57:00-05:00,136.975,137.195,136.975,137.195,1106
2020-02-27 09:58:00-05:00,136.95,136.95,136.745,136.85,401
2020-02-27 09:59:00-05:00,136.775,136.79,136.775,136.79,200
2020-02-27 10:00:00-05:00,136.83,137.12,136.82,136.92,1431
2020-02-27 10:01:00-05:00,136.67,136.67,136.365,136.5,1025
2020-02-27 10:02:00-05:00,136.49,136.49,136.38,136.43,210
2020-02-27 10:03:00-05:00,136.255,136.255,136.255,136.255,100
2020-02-27 10:04:00-05:00,136.155,136.155,135.84,135.91,2429
2020-02-27 10:05:00-05:00,135.935,135.94,135.91,135.94,414
2020-02-27 10:06:00-05:00,136.0,136.16,135.93,136.16,202
2020-02-27 10:07:00-05:00,136.27,136.35,136.27,136.35,170
2020-02-27 10:08:00-05:00,136.375,136.375,136.375,136.375,100
2020-02-27 10:09:00-05:00,136.57,136.57,136.57,136.57,917
2020-02-27 10:10:00-05:00,136.255,136.255,136.22,136.22,4200
2020-02-27 10:11:00-05:00,136.465,136.465,136.465,136.465,300
2020-02-27 10:12:00-05:00,136.325,136.425,136.325,136.425,1352
