<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
03/01/19,00:00:00,43578.0000000,43688.0000000,42930.0000000,43420.0000000,2281
04/01/19,00:00:00,43411.0000000,43973.0000000,43318.0000000,43717.0000000,3683
08/01/19,00:00:00,43684.0000000,43684.0000000,42713.0000000,43086.0000000,4290
09/01/19,00:00:00,43100.0000000,43541.0000000,43100.0000000,43474.0000000,3118
10/01/19,00:00:00,43429.0000000,43934.0000000,43014.0000000,43869.0000000,4137
11/01/19,00:00:00,43708.0000000,44162.0000000,43675.0000000,43807.0000000,4536
14/01/19,00:00:00,43740.0000000,43980.0000000,43105.0000000,43150.0000000,4954
15/01/19,00:00:00,43193.0000000,43748.0000000,42739.0000000,42990.0000000,5410
16/01/19,00:00:00,43041.0000000,43264.0000000,42570.0000000,42845.0000000,3318
17/01/19,00:00:00,42723.0000000,42821.0000000,41982.0000000,42164.0000000,4167
18/01/19,00:00:00,42200.0000000,42744.0000000,42179.0000000,42544.0000000,5076
21/01/19,00:00:00,42597.0000000,43032.0000000,42452.0000000,42861.0000000,4489
22/01/19,00:00:00,42856.0000000,42856.0000000,41826.0000000,42065.0000000,6498
23/01/19,00:00:00,42095.0000000,42640.0000000,42095.0000000,42233.0000000,5052
24/01/19,00:00:00,42225.0000000,42225.0000000,41043.0000000,41106.0000000,17809
25/01/19,00:00:00,41152.0000000,41920.0000000,40964.0000000,41724.0000000,10162
28/01/19,00:00:00,41724.0000000,41945.0000000,41349.0000000,41768.0000000,6496
29/01/19,00:00:00,41709.0000000,41850.0000000,41100.0000000,41490.0000000,8658
30/01/19,00:00:00,41524.0000000,42178.0000000,41524.0000000,42095.0000000,7142
31/01/19,00:00:00,42097.0000000,42293.0000000,41458.0000000,41460.0000000,6932
01/02/19,00:00:00,41510.0000000,41898.0000000,41419.0000000,41530.0000000,6312
04/02/19,00:00:00,41610.0000000,41843.0000000,41377.0000000,41599.0000000,4499
05/02/19,00:00:00,41505.0000000,43381.0000000,41383.0000000,43330.0000000,20079
06/02/19,00:00:00,43314.0000000,43356.0000000,42428.0000000,42510.0000000,10359
07/02/19,00:00:00,42476.0000000,42675.0000000,41153.0000000,41400.0000000,9626
08/02/19,00:00:00,41429.0000000,41848.0000000,41268.0000000,41770.0000000,6718
11/02/19,00:00:00,41659.0000000,42259.0000000,41350.0000000,41414.0000000,8329
12/02/19,00:00:00,41479.0000000,42125.0000000,41386.0000000,41521.0000000,8224
13/02/19,00:00:00,41600.0000000,41935.0000000,39926.0000000,39926.0000000,17310
14/02/19,00:00:00,39916.0000000,40258.0000000,39465.0000000,40034.0000000,15417
15/02/19,00:00:00,40023.0000000,40809.0000000,40000.0000000,40721.0000000,10705
18/02/19,00:00:00,40726.0000000,41071.0000000,40165.0000000,40725.0000000,7243
19/02/19,00:00:00,40712.0000000,41108.0000000,40265.0000000,40705.0000000,8363
20/02/19,00:00:00,40654.0000000,40760.0000000,40267.0000000,40510.0000000,5284
21/02/19,00:00:00,40510.0000000,40695.0000000,39600.0000000,39798.0000000,6575
22/02/19,00:00:00,39799.0000000,40494.0000000,39679.0000000,40085.0000000,6503
25/02/19,00:00:00,40250.0000000,40645.0000000,39466.0000000,39677.0000000,7789
26/02/19,00:00:00,39656.0000000,40358.0000000,39509.0000000,40351.0000000,5205
27/02/19,00:00:00,40267.0000000,40290.0000000,39981.0000000,40271.0000000,5596
28/02/19,00:00:00,40267.0000000,40268.0000000,39720.0000000,39938.0000000,4317
01/03/19,00:00:00,39996.0000000,40190.0000000,39767.0000000,39952.0000000,3885
04/03/19,00:00:00,39980.0000000,40214.0000000,39699.0000000,39832.0000000,4829
