<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
03/01/19,00:00:00,106580.0000000,109830.0000000,106570.0000000,109400.0000000,293965
04/01/19,00:00:00,109520.0000000,112850.0000000,109520.0000000,112460.0000000,306966
08/01/19,00:00:00,112630.0000000,113990.0000000,111860.0000000,112920.0000000,276967
09/01/19,00:00:00,113000.0000000,114670.0000000,112810.0000000,114280.0000000,279203
10/01/19,00:00:00,114210.0000000,115050.0000000,113170.0000000,115050.0000000,331664
11/01/19,00:00:00,115000.0000000,115630.0000000,114280.0000000,115000.0000000,323432
14/01/19,00:00:00,114920.0000000,115190.0000000,113480.0000000,114690.0000000,294294
15/01/19,00:00:00,114730.0000000,115900.0000000,114070.0000000,114940.0000000,358407
16/01/19,00:00:00,114950.0000000,116620.0000000,114880.0000000,116120.0000000,317032
17/01/19,00:00:00,116110.0000000,116840.0000000,115010.0000000,116360.0000000,366538
18/01/19,00:00:00,116500.0000000,118160.0000000,116500.0000000,117870.0000000,325178
21/01/19,00:00:00,117880.0000000,118110.0000000,117220.0000000,117370.0000000,197422
22/01/19,00:00:00,117370.0000000,117410.0000000,116360.0000000,116670.0000000,357996
23/01/19,00:00:00,116780.0000000,119000.0000000,116780.0000000,118550.0000000,362074
24/01/19,00:00:00,118490.0000000,119470.0000000,118080.0000000,119170.0000000,387031
25/01/19,00:00:00,119270.0000000,119640.0000000,118270.0000000,119010.0000000,283781
28/01/19,00:00:00,118970.0000000,119870.0000000,117460.0000000,117940.0000000,331802
29/01/19,00:00:00,118000.0000000,119580.0000000,117110.0000000,119060.0000000,381611
30/01/19,00:00:00,118970.0000000,121760.0000000,118930.0000000,121630.0000000,397857
31/01/19,00:00:00,121730.0000000,122720.0000000,120960.0000000,121610.0000000,419509
01/02/19,00:00:00,121500.0000000,121980.0000000,120680.0000000,121260.0000000,311434
04/02/19,00:00:00,121250.0000000,122100.0000000,121010.0000000,121300.0000000,260911
05/02/19,00:00:00,121350.0000000,123170.0000000,121340.0000000,122630.0000000,293589
06/02/19,00:00:00,122630.0000000,122790.0000000,120920.0000000,121270.0000000,276664
07/02/19,00:00:00,121140.0000000,121360.0000000,119110.0000000,119850.0000000,379456
08/02/19,00:00:00,119750.0000000,120300.0000000,119140.0000000,119880.0000000,320755
11/02/19,00:00:00,119890.0000000,121130.0000000,119810.0000000,119890.0000000,314294
12/02/19,00:00:00,120040.0000000,122040.0000000,120040.0000000,120750.0000000,400804
13/02/19,00:00:00,120840.0000000,121650.0000000,116710.0000000,116760.0000000,518678
14/02/19,00:00:00,116770.0000000,117540.0000000,115310.0000000,117220.0000000,616405
15/02/19,00:00:00,117030.0000000,118360.0000000,116780.0000000,118310.0000000,341432
18/02/19,00:00:00,118290.0000000,118740.0000000,116750.0000000,117770.0000000,306442
19/02/19,00:00:00,117700.0000000,118630.0000000,116480.0000000,118560.0000000,402550
20/02/19,00:00:00,118480.0000000,120180.0000000,118080.0000000,119560.0000000,370220
21/02/19,00:00:00,119650.0000000,120100.0000000,118190.0000000,118620.0000000,339920
22/02/19,00:00:00,118690.0000000,120210.0000000,118570.0000000,119630.0000000,260358
25/02/19,00:00:00,119680.0000000,121090.0000000,119180.0000000,119540.0000000,391860
26/02/19,00:00:00,119300.0000000,120170.0000000,118520.0000000,120140.0000000,328364
27/02/19,00:00:00,120020.0000000,120140.0000000,118180.0000000,119280.0000000,395453
28/02/19,00:00:00,119230.0000000,119230.0000000,118000.0000000,118580.0000000,366745
