<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
03/01/19,11:00:00,106580.0000000,108160.0000000,106570.0000000,107600.0000000,38889
03/01/19,12:00:00,107620.0000000,108140.0000000,107510.0000000,108040.0000000,24968
03/01/19,13:00:00,108030.0000000,108700.0000000,108020.0000000,108260.0000000,28894
03/01/19,14:00:00,108260.0000000,108410.0000000,108080.0000000,108260.0000000,15154
03/01/19,15:00:00,108270.0000000,108760.0000000,108170.0000000,108740.0000000,16085
03/01/19,16:00:00,108720.0000000,108990.0000000,108600.0000000,108940.0000000,19443
03/01/19,17:00:00,108940.0000000,109520.0000000,108810.0000000,109360.0000000,23255
03/01/19,18:00:00,109350.0000000,109440.0000000,108660.0000000,109030.0000000,31103
03/01/19,19:00:00,109040.0000000,109090.0000000,108320.0000000,108450.0000000,32604
03/01/19,20:00:00,108520.0000000,109830.0000000,108520.0000000,109520.0000000,33555
03/01/19,21:00:00,109520.0000000,109730.0000000,109410.0000000,109730.0000000,7819
03/01/19,22:00:00,109720.0000000,109780.0000000,109300.0000000,109340.0000000,9173
03/01/19,23:00:00,109320.0000000,109680.0000000,109260.0000000,109340.0000000,7242
04/01/19,00:00:00,109350.0000000,109510.0000000,109290.0000000,109400.0000000,5781
04/01/19,11:00:00,109520.0000000,110430.0000000,109520.0000000,110240.0000000,32839
04/01/19,12:00:00,110230.0000000,110640.0000000,110140.0000000,110510.0000000,28759
04/01/19,13:00:00,110500.0000000,110730.0000000,110370.0000000,110530.0000000,18841
04/01/19,14:00:00,110530.0000000,110810.0000000,110500.0000000,110770.0000000,12878
04/01/19,15:00:00,110780.0000000,111080.0000000,110760.0000000,111050.0000000,20079
04/01/19,16:00:00,111050.0000000,111110.0000000,110680.0000000,110790.0000000,13348
04/01/19,17:00:00,110800.0000000,110990.0000000,110400.0000000,110860.0000000,32867
04/01/19,18:00:00,110860.0000000,111140.0000000,110660.0000000,111050.0000000,31066
04/01/19,19:00:00,111040.0000000,111990.0000000,110850.0000000,111780.0000000,37594
04/01/19,20:00:00,111940.0000000,112360.0000000,111750.0000000,112250.0000000,30832
04/01/19,21:00:00,112240.0000000,112500.0000000,112150.0000000,112380.0000000,12656
04/01/19,22:00:00,112380.0000000,112850.0000000,112340.0000000,112610.0000000,18349
04/01/19,23:00:00,112620.0000000,112680.0000000,112420.0000000,112450.0000000,9713
05/01/19,00:00:00,112450.0000000,112590.0000000,112410.0000000,112460.0000000,7145
08/01/19,11:00:00,112630.0000000,113990.0000000,112180.0000000,112320.0000000,44733
08/01/19,12:00:00,112320.0000000,112550.0000000,112000.0000000,112070.0000000,34205
08/01/19,13:00:00,112070.0000000,112440.0000000,111970.0000000,112010.0000000,24777
08/01/19,14:00:00,112000.0000000,112290.0000000,111860.0000000,112180.0000000,20699
08/01/19,15:00:00,112160.0000000,112480.0000000,112100.0000000,112330.0000000,15394
08/01/19,16:00:00,112330.0000000,112390.0000000,112010.0000000,112200.0000000,13981
08/01/19,17:00:00,112200.0000000,112410.0000000,112100.0000000,112230.0000000,14747
08/01/19,18:00:00,112230.0000000,112580.0000000,112180.0000000,112360.0000000,27961
08/01/19,19:00:00,112360.0000000,112680.0000000,112060.0000000,112310.0000000,32436
08/01/19,20:00:00,112320.0000000,112900.0000000,112280.0000000,112870.0000000,17478
08/01/19,21:00:00,112880.0000000,113100.0000000,112810.0000000,112820.0000000,11924
08/01/19,22:00:00,112820.0000000,113020.0000000,112670.0000000,112930.0000000,7025
08/01/19,23:00:00,112920.0000000,113060.0000000,112870.0000000,112930.0000000,5921
09/01/19,00:00:00,112920.0000000,113090.0000000,112850.0000000,112920.0000000,5686
09/01/19,11:00:00,113000.0000000,113460.0000000,112810.0000000,113390.0000000,34947
09/01/19,12:00:00,113380.0000000,113450.0000000,112900.0000000,113260.0000000,26896
09/01/19,13:00:00,113270.0000000,113750.0000000,113120.0000000,113700.0000000,21676
09/01/19,14:00:00,113700.0000000,113780.0000000,113510.0000000,113610.0000000,11073
09/01/19,15:00:00,113610.0000000,113640.0000000,113460.0000000,113530.0000000,15015
09/01/19,16:00:00,113550.0000000,113600.0000000,113210.0000000,113300.0000000,16478
09/01/19,17:00:00,113300.0000000,113620.0000000,113270.0000000,113530.0000000,13893
09/01/19,18:00:00,113510.0000000,113970.0000000,113320.0000000,113910.0000000,24462
09/01/19,19:00:00,113920.0000000,114140.0000000,113480.0000000,113580.0000000,36867
09/01/19,20:00:00,113710.0000000,114460.0000000,113580.0000000,114430.0000000,31314
09/01/19,21:00:00,114410.0000000,114430.0000000,114190.0000000,114390.0000000,11784
09/01/19,22:00:00,114410.0000000,114500.0000000,114240.0000000,114400.0000000,10076
09/01/19,23:00:00,114400.0000000,114670.0000000,114340.0000000,114420.0000000,16806
10/01/19,00:00:00,114410.0000000,114500.0000000,114190.0000000,114280.0000000,7916
10/01/19,11:00:00,114210.0000000,114210.0000000,113270.0000000,113340.0000000,46055
10/01/19,12:00:00,113350.0000000,113520.0000000,113170.0000000,113330.0000000,26674
10/01/19,13:00:00,113320.0000000,113660.0000000,113230.0000000,113480.0000000,33141
10/01/19,14:00:00,113490.0000000,113970.0000000,113470.0000000,113820.0000000,22943
10/01/19,15:00:00,113820.0000000,114030.0000000,113610.0000000,113740.0000000,16420
10/01/19,16:00:00,113730.0000000,114000.0000000,113720.0000000,113830.0000000,15379
10/01/19,17:00:00,113830.0000000,114110.0000000,113740.0000000,113740.0000000,21938
10/01/19,18:00:00,113750.0000000,114100.0000000,113630.0000000,113830.0000000,33469
10/01/19,19:00:00,113830.0000000,114430.0000000,113800.0000000,114230.0000000,29316
10/01/19,20:00:00,114350.0000000,114730.0000000,114350.0000000,114620.0000000,27401
10/01/19,21:00:00,114630.0000000,114830.0000000,114440.0000000,114630.0000000,15314
10/01/19,22:00:00,114620.0000000,114650.0000000,114220.0000000,114550.0000000,17760
10/01/19,23:00:00,114540.0000000,114900.0000000,114510.0000000,114840.0000000,16168
11/01/19,00:00:00,114840.0000000,115050.0000000,114780.0000000,115050.0000000,9686
11/01/19,11:00:00,115000.0000000,115280.0000000,114710.0000000,114970.0000000,36424
11/01/19,12:00:00,114980.0000000,115630.0000000,114900.0000000,115500.0000000,45791
11/01/19,13:00:00,115520.0000000,115590.0000000,115240.0000000,115260.0000000,20413
11/01/19,14:00:00,115240.0000000,115500.0000000,115120.0000000,115480.0000000,28376
11/01/19,15:00:00,115470.0000000,115470.0000000,115200.0000000,115230.0000000,18203
11/01/19,16:00:00,115220.0000000,115470.0000000,115120.0000000,115130.0000000,19740
11/01/19,17:00:00,115130.0000000,115170.0000000,114640.0000000,114770.0000000,43627
11/01/19,18:00:00,114760.0000000,115070.0000000,114280.0000000,114460.0000000,41508
11/01/19,19:00:00,114470.0000000,114990.0000000,114420.0000000,114930.0000000,26757
11/01/19,20:00:00,115000.0000000,115310.0000000,114770.0000000,114900.0000000,18138
11/01/19,21:00:00,114900.0000000,115190.0000000,114880.0000000,115050.0000000,8451
11/01/19,22:00:00,115060.0000000,115120.0000000,114880.0000000,114990.0000000,6740
11/01/19,23:00:00,114990.0000000,114990.0000000,114830.0000000,114850.0000000,3741
12/01/19,00:00:00,114840.0000000,115000.0000000,114720.0000000,115000.0000000,5523
14/01/19,11:00:00,114920.0000000,114920.0000000,113690.0000000,114070.0000000,40811
14/01/19,12:00:00,114080.0000000,114250.0000000,113830.0000000,113840.0000000,30319
14/01/19,13:00:00,113840.0000000,114140.0000000,113620.0000000,113660.0000000,20711
14/01/19,14:00:00,113650.0000000,113870.0000000,113480.0000000,113840.0000000,25509
14/01/19,15:00:00,113830.0000000,113990.0000000,113690.0000000,113960.0000000,14746
14/01/19,16:00:00,113960.0000000,114290.0000000,113840.0000000,114140.0000000,17265
14/01/19,17:00:00,114130.0000000,114450.0000000,114040.0000000,114310.0000000,20444
14/01/19,18:00:00,114300.0000000,114750.0000000,114120.0000000,114600.0000000,35312
14/01/19,19:00:00,114590.0000000,115120.0000000,114580.0000000,114800.0000000,30952
14/01/19,20:00:00,114890.0000000,115080.0000000,114620.0000000,114910.0000000,20981
14/01/19,21:00:00,114920.0000000,115190.0000000,114890.0000000,114940.0000000,10761
14/01/19,22:00:00,114940.0000000,115060.0000000,114850.0000000,114900.0000000,5907
14/01/19,23:00:00,114880.0000000,114930.0000000,114620.0000000,114730.0000000,13200
15/01/19,00:00:00,114730.0000000,114840.0000000,114590.0000000,114690.0000000,7376
15/01/19,11:00:00,114730.0000000,115500.0000000,114730.0000000,115280.0000000,27569
15/01/19,12:00:00,115280.0000000,115900.0000000,115240.0000000,115650.0000000,40823
15/01/19,13:00:00,115660.0000000,115700.0000000,114880.0000000,114980.0000000,37280
15/01/19,14:00:00,114980.0000000,115080.0000000,114560.0000000,114710.0000000,25590
15/01/19,15:00:00,114720.0000000,114920.0000000,114460.0000000,114460.0000000,23269
15/01/19,16:00:00,114460.0000000,114580.0000000,114150.0000000,114450.0000000,26159
15/01/19,17:00:00,114450.0000000,114470.0000000,114130.0000000,114260.0000000,24884
15/01/19,18:00:00,114240.0000000,114840.0000000,114070.0000000,114730.0000000,42259
15/01/19,19:00:00,114740.0000000,115110.0000000,114470.0000000,114970.0000000,38130
15/01/19,20:00:00,115040.0000000,115290.0000000,114570.0000000,114820.0000000,21699
15/01/19,21:00:00,114830.0000000,114980.0000000,114460.0000000,114470.0000000,17874
15/01/19,22:00:00,114470.0000000,114720.0000000,114420.0000000,114670.0000000,9525
15/01/19,23:00:00,114670.0000000,114780.0000000,114330.0000000,114680.0000000,14278
16/01/19,00:00:00,114690.0000000,114950.0000000,114630.0000000,114940.0000000,9068
16/01/19,11:00:00,114950.0000000,115510.0000000,114920.0000000,115410.0000000,39954
16/01/19,12:00:00,115400.0000000,115800.0000000,115210.0000000,115660.0000000,34679
16/01/19,13:00:00,115660.0000000,115710.0000000,115320.0000000,115410.0000000,18024
16/01/19,14:00:00,115410.0000000,115430.0000000,115100.0000000,115180.0000000,18044
16/01/19,15:00:00,115190.0000000,115330.0000000,115110.0000000,115190.0000000,11242
16/01/19,16:00:00,115190.0000000,115370.0000000,115070.0000000,115250.0000000,14586
16/01/19,17:00:00,115250.0000000,115280.0000000,114880.0000000,115200.0000000,21869
16/01/19,18:00:00,115210.0000000,115900.0000000,115160.0000000,115760.0000000,40936
16/01/19,19:00:00,115770.0000000,115840.0000000,115320.0000000,115380.0000000,24775
16/01/19,20:00:00,115390.0000000,116380.0000000,115370.0000000,116300.0000000,48192
16/01/19,21:00:00,116280.0000000,116440.0000000,116130.0000000,116190.0000000,15259
