<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
10/10/05,00:00:00,27200.0000000,27250.0000000,27200.0000000,27250.0000000,2
13/10/05,00:00:00,26127.0000000,26127.0000000,25509.0000000,25509.0000000,3
14/10/05,00:00:00,24555.0000000,25585.0000000,24305.0000000,24800.0000000,74
17/10/05,00:00:00,25210.0000000,26900.0000000,24205.0000000,24984.0000000,51
18/10/05,00:00:00,25310.0000000,25490.0000000,24355.0000000,25140.0000000,43
19/10/05,00:00:00,23600.0000000,24204.0000000,23600.0000000,24204.0000000,4
20/10/05,00:00:00,24400.0000000,24400.0000000,24300.0000000,24300.0000000,4
21/10/05,00:00:00,23800.0000000,24124.0000000,23800.0000000,24124.0000000,13
24/10/05,00:00:00,24100.0000000,24600.0000000,24000.0000000,24460.0000000,14
25/10/05,00:00:00,23502.0000000,24501.0000000,23502.0000000,24200.0000000,8
26/10/05,00:00:00,24210.0000000,24210.0000000,24210.0000000,24210.0000000,1
27/10/05,00:00:00,24900.0000000,24900.0000000,24200.0000000,24200.0000000,27
28/10/05,00:00:00,24600.0000000,25600.0000000,24450.0000000,24450.0000000,12
31/10/05,00:00:00,25000.0000000,25450.0000000,25000.0000000,25450.0000000,7
01/11/05,00:00:00,25539.0000000,25800.0000000,25539.0000000,25800.0000000,21
02/11/05,00:00:00,26189.0000000,26565.0000000,25517.0000000,26470.0000000,42
07/11/05,00:00:00,26800.0000000,27300.0000000,26800.0000000,27300.0000000,5
08/11/05,00:00:00,27080.0000000,27080.0000000,27080.0000000,27080.0000000,2
09/11/05,00:00:00,27400.0000000,27400.0000000,27400.0000000,27400.0000000,10
10/11/05,00:00:00,27500.0000000,28050.0000000,27500.0000000,28050.0000000,45
11/11/05,00:00:00,27900.0000000,28043.0000000,27900.0000000,28043.0000000,12
14/11/05,00:00:00,28550.0000000,29750.0000000,28250.0000000,29750.0000000,74
15/11/05,00:00:00,30200.0000000,31650.0000000,30019.0000000,31489.0000000,344
16/11/05,00:00:00,31302.0000000,31750.0000000,30470.0000000,30586.0000000,385
17/11/05,00:00:00,31000.0000000,31800.0000000,30600.0000000,31220.0000000,178
18/11/05,00:00:00,31250.0000000,31388.0000000,30801.0000000,31167.0000000,62
21/11/05,00:00:00,31290.0000000,32200.0000000,31290.0000000,31500.0000000,177
22/11/05,00:00:00,31679.0000000,31680.0000000,31000.0000000,31240.0000000,141
23/11/05,00:00:00,31598.0000000,31866.0000000,31250.0000000,31500.0000000,38
24/11/05,00:00:00,31800.0000000,33500.0000000,31300.0000000,31450.0000000,61
25/11/05,00:00:00,31360.0000000,31650.0000000,31350.0000000,31650.0000000,18
28/11/05,00:00:00,31900.0000000,32450.0000000,31900.0000000,31970.0000000,117
29/11/05,00:00:00,31910.0000000,31910.0000000,31400.0000000,31400.0000000,46
30/11/05,00:00:00,31890.0000000,32000.0000000,31890.0000000,32000.0000000,11
01/12/05,00:00:00,32440.0000000,33100.0000000,32400.0000000,32410.0000000,60
02/12/05,00:00:00,33601.0000000,34100.0000000,33600.0000000,34050.0000000,118
05/12/05,00:00:00,34700.0000000,34950.0000000,34200.0000000,34200.0000000,38
06/12/05,00:00:00,33899.0000000,33899.0000000,33899.0000000,33899.0000000,4
07/12/05,00:00:00,34100.0000000,34700.0000000,33940.0000000,34600.0000000,24
08/12/05,00:00:00,35310.0000000,35310.0000000,32440.0000000,35000.0000000,68
09/12/05,00:00:00,34800.0000000,35000.0000000,34800.0000000,35000.0000000,7
12/12/05,00:00:00,35400.0000000,35400.0000000,34851.0000000,35300.0000000,143
13/12/05,00:00:00,35300.0000000,35700.0000000,35100.0000000,35700.0000000,13
14/12/05,00:00:00,35200.0000000,35970.0000000,35200.0000000,35590.0000000,25
15/12/05,00:00:00,35300.0000000,35520.0000000,35000.0000000,35252.0000000,188
16/12/05,00:00:00,35224.0000000,35282.0000000,35060.0000000,35200.0000000,97
19/12/05,00:00:00,35270.0000000,35340.0000000,35200.0000000,35280.0000000,30
