<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
05/01/15,11:00:00,1202.3000000,1205.0000000,1197.0000000,1199.7000000,1390
05/01/15,12:00:00,1199.8000000,1201.3000000,1196.3000000,1196.4000000,957
05/01/15,13:00:00,1196.7000000,1199.4000000,1196.3000000,1197.4000000,337
05/01/15,14:00:00,1197.9000000,1198.2000000,1191.8000000,1193.0000000,851
05/01/15,15:00:00,1193.0000000,1194.5000000,1189.0000000,1192.0000000,1029
05/01/15,16:00:00,1192.5000000,1193.6000000,1189.9000000,1192.6000000,604
05/01/15,17:00:00,1191.8000000,1202.8000000,1190.4000000,1197.2000000,1810
05/01/15,18:00:00,1197.1000000,1203.5000000,1196.5000000,1202.0000000,1087
05/01/15,19:00:00,1202.8000000,1205.5000000,1201.4000000,1202.6000000,1853
05/01/15,20:00:00,1201.8000000,1202.0000000,1197.6000000,1199.9000000,1109
05/01/15,21:00:00,1199.4000000,1204.5000000,1198.7000000,1204.2000000,624
05/01/15,22:00:00,1203.6000000,1207.8000000,1203.0000000,1206.2000000,1380
05/01/15,23:00:00,1206.0000000,1208.4000000,1205.3000000,1207.6000000,714
06/01/15,00:00:00,1207.4000000,1211.4000000,1207.4000000,1210.6000000,610
06/01/15,11:00:00,1211.6000000,1215.3000000,1211.2000000,1212.3000000,1324
06/01/15,12:00:00,1211.9000000,1216.0000000,1210.0000000,1214.8000000,1198
06/01/15,13:00:00,1215.1000000,1217.9000000,1214.1000000,1217.0000000,1110
06/01/15,14:00:00,1217.0000000,1217.0000000,1213.9000000,1214.6000000,375
06/01/15,15:00:00,1214.6000000,1215.5000000,1212.3000000,1213.6000000,582
06/01/15,16:00:00,1213.3000000,1215.0000000,1211.6000000,1213.8000000,580
06/01/15,17:00:00,1213.6000000,1217.7000000,1212.4000000,1214.5000000,1246
06/01/15,18:00:00,1214.2000000,1215.5000000,1212.0000000,1214.0000000,752
06/01/15,19:00:00,1214.5000000,1217.3000000,1209.4000000,1212.3000000,1699
06/01/15,20:00:00,1212.9000000,1227.1000000,1211.3000000,1223.9000000,3068
06/01/15,21:00:00,1223.3000000,1225.3000000,1220.1000000,1220.8000000,1174
06/01/15,22:00:00,1221.7000000,1224.9000000,1220.8000000,1221.0000000,624
06/01/15,23:00:00,1220.9000000,1222.0000000,1218.6000000,1221.8000000,475
07/01/15,00:00:00,1221.8000000,1223.5000000,1221.7000000,1222.0000000,605
08/01/15,11:00:00,1221.0000000,1221.0000000,1210.6000000,1212.2000000,1082
08/01/15,12:00:00,1212.1000000,1212.1000000,1209.1000000,1211.1000000,535
08/01/15,13:00:00,1211.1000000,1212.7000000,1210.7000000,1211.2000000,216
08/01/15,14:00:00,1211.3000000,1211.7000000,1208.6000000,1209.7000000,588
08/01/15,15:00:00,1209.5000000,1210.3000000,1207.6000000,1210.3000000,533
08/01/15,16:00:00,1209.9000000,1214.4000000,1209.0000000,1213.4000000,998
08/01/15,17:00:00,1213.8000000,1216.6000000,1211.0000000,1216.1000000,830
08/01/15,18:00:00,1216.9000000,1219.3000000,1214.0000000,1218.8000000,1619
08/01/15,19:00:00,1219.3000000,1219.8000000,1216.3000000,1217.3000000,774
08/01/15,20:00:00,1215.9000000,1218.4000000,1215.3000000,1216.4000000,1767
08/01/15,21:00:00,1216.3000000,1218.0000000,1215.9000000,1216.8000000,502
08/01/15,22:00:00,1216.0000000,1216.0000000,1210.0000000,1211.0000000,1137
08/01/15,23:00:00,1211.0000000,1213.0000000,1210.4000000,1211.3000000,466
09/01/15,00:00:00,1211.0000000,1211.8000000,1210.0000000,1210.6000000,466
09/01/15,11:00:00,1211.8000000,1218.4000000,1211.8000000,1214.6000000,751
09/01/15,12:00:00,1214.3000000,1215.5000000,1213.9000000,1215.0000000,240
09/01/15,13:00:00,1214.8000000,1215.1000000,1212.8000000,1214.1000000,437
09/01/15,14:00:00,1213.5000000,1215.6000000,1213.5000000,1215.3000000,208
09/01/15,15:00:00,1215.2000000,1215.7000000,1214.0000000,1215.3000000,290
09/01/15,16:00:00,1215.6000000,1217.5000000,1212.8000000,1213.9000000,626
09/01/15,17:00:00,1214.6000000,1222.2000000,1210.1000000,1217.7000000,4984
09/01/15,18:00:00,1217.9000000,1220.2000000,1215.7000000,1219.2000000,1277
09/01/15,19:00:00,1218.8000000,1224.3000000,1218.7000000,1222.0000000,2950
09/01/15,20:00:00,1221.8000000,1222.2000000,1218.9000000,1219.6000000,1008
09/01/15,21:00:00,1219.4000000,1221.6000000,1219.3000000,1221.6000000,325
09/01/15,22:00:00,1221.5000000,1224.9000000,1219.5000000,1223.4000000,799
