<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,Close,<VOL>
11/01/10,00:00:00,8.440.0000000,8.840.0000000,8.440.0000000,8.695.0000000,212.946
12/01/10,00:00:00,8.693.0000000,8.700.0000000,8.458.0000000,8.474.0000000,272.973
13/01/10,00:00:00,8.471.0000000,8.785.0000000,8.438.0000000,8.771.0000000,264.813
14/01/10,00:00:00,8.763.0000000,8.807.0000000,8.700.0000000,8.789.0000000,218.338
15/01/10,00:00:00,8.785.0000000,8.884.0000000,8.750.0000000,8.820.0000000,274.296
18/01/10,00:00:00,8.810.0000000,9.100.0000000,8.793.0000000,9.092.0000000,298.275
19/01/10,00:00:00,9.092.0000000,9.330.0000000,8.906.0000000,9.320.0000000,520.676
20/01/10,00:00:00,9.316.0000000,9.316.0000000,9.055.0000000,9.125.0000000,448.810
21/01/10,00:00:00,9.128.0000000,9.200.0000000,8.871.0000000,8.878.0000000,526.317
22/01/10,00:00:00,8.883.0000000,8.957.0000000,8.586.0000000,8.591.0000000,589.368
25/01/10,00:00:00,8.620.0000000,8.919.0000000,8.590.0000000,8.847.0000000,502.641
26/01/10,00:00:00,8.843.0000000,8.843.0000000,8.551.0000000,8.615.0000000,542.315
27/01/10,00:00:00,8.603.0000000,8.840.0000000,8.561.0000000,8.779.0000000,514.178
28/01/10,00:00:00,8.796.0000000,8.917.0000000,8.657.0000000,8.732.0000000,445.316
29/01/10,00:00:00,8.725.0000000,8.919.0000000,8.665.0000000,8.763.0000000,426.899
01/02/10,00:00:00,8.770.0000000,8.875.0000000,8.720.0000000,8.875.0000000,311.440
02/02/10,00:00:00,8.875.0000000,8.886.0000000,8.762.0000000,8.876.0000000,258.816
03/02/10,00:00:00,8.878.0000000,9.011.0000000,8.829.0000000,8.854.0000000,366.599
04/02/10,00:00:00,8.852.0000000,8.872.0000000,8.360.0000000,8.375.0000000,436.804
05/02/10,00:00:00,8.378.0000000,8.460.0000000,8.137.0000000,8.384.0000000,803.868
08/02/10,00:00:00,8.381.0000000,8.443.0000000,7.937.0000000,7.983.0000000,682.282
09/02/10,00:00:00,7.985.0000000,8.148.0000000,7.853.0000000,8.145.0000000,673.070
10/02/10,00:00:00,8.138.0000000,8.375.0000000,7.984.0000000,8.228.0000000,655.575
11/02/10,00:00:00,8.235.0000000,8.412.0000000,8.186.0000000,8.380.0000000,626.568
12/02/10,00:00:00,8.380.0000000,8.386.0000000,7.955.0000000,8.077.0000000,525.717
15/02/10,00:00:00,8.075.0000000,8.163.0000000,7.976.0000000,8.074.0000000,232.922
16/02/10,00:00:00,8.075.0000000,8.427.0000000,8.075.0000000,8.415.0000000,347.085
17/02/10,00:00:00,8.419.0000000,8.419.0000000,8.236.0000000,8.305.0000000,355.501
18/02/10,00:00:00,8.291.0000000,8.291.0000000,7.869.0000000,8.089.0000000,593.196
19/02/10,00:00:00,8.083.0000000,8.083.0000000,7.683.0000000,8.000.0000000,570.894
24/02/10,00:00:00,7.977.0000000,7.998.0000000,7.566.0000000,7.695.0000000,424.328
25/02/10,00:00:00,7.690.0000000,7.690.0000000,7.331.0000000,7.570.0000000,555.503
26/02/10,00:00:00,7.574.0000000,7.622.0000000,7.462.0000000,7.540.0000000,387.113
27/02/10,00:00:00,7.542.0000000,7.668.0000000,7.505.0000000,7.638.0000000,120.264
01/03/10,00:00:00,7.641.0000000,8.069.0000000,7.641.0000000,8.040.0000000,561.672
02/03/10,00:00:00,8.035.0000000,8.312.0000000,7.996.0000000,8.215.0000000,562.918
03/03/10,00:00:00,8.218.0000000,8.371.0000000,8.097.0000000,8.315.0000000,483.567
04/03/10,00:00:00,8.309.0000000,8.367.0000000,8.145.0000000,8.338.0000000,456.812
05/03/10,00:00:00,8.338.0000000,8.772.0000000,8.338.0000000,8.753.0000000,497.344
09/03/10,00:00:00,8.763.0000000,9.020.0000000,8.650.0000000,8.940.0000000,524.180
10/03/10,00:00:00,8.992.0000000,9.050.0000000,8.731.0000000,8.807.0000000,87.908
11/03/10,00:00:00,8.775.0000000,8.924.0000000,8.700.0000000,8.820.0000000,172.508
12/03/10,00:00:00,8.820.0000000,9.046.0000000,8.818.0000000,8.954.0000000,430.361
15/03/10,00:00:00,8.953.0000000,9.026.0000000,8.823.0000000,8.885.0000000,408.011
16/03/10,00:00:00,8.885.0000000,9.030.0000000,8.827.0000000,9.022.0000000,380.660
17/03/10,00:00:00,9.025.0000000,9.111.0000000,8.945.0000000,9.049.0000000,359.651
18/03/10,00:00:00,9.031.0000000,9.166.0000000,8.909.0000000,9.060.0000000,452.628
19/03/10,00:00:00,9.060.0000000,9.118.0000000,8.844.0000000,8.861.0000000,406.466
22/03/10,00:00:00,8.848.0000000,8.848.0000000,8.655.0000000,8.795.0000000,430.892
23/03/10,00:00:00,8.789.0000000,8.798.0000000,8.577.0000000,8.709.0000000,436.460
24/03/10,00:00:00,8.707.0000000,8.804.0000000,8.531.0000000,8.732.0000000,587.828
25/03/10,00:00:00,8.743.0000000,8.800.0000000,8.580.0000000,8.586.0000000,413.571
26/03/10,00:00:00,8.608.0000000,8.705.0000000,8.418.0000000,8.481.0000000,434.583
29/03/10,00:00:00,8.481.0000000,8.665.0000000,8.454.0000000,8.610.0000000,372.861
30/03/10,00:00:00,8.612.0000000,8.723.0000000,8.484.0000000,8.568.0000000,373.735
31/03/10,00:00:00,8.560.0000000,8.768.0000000,8.493.0000000,8.610.0000000,538.933
01/04/10,00:00:00,8.619.0000000,8.858.0000000,8.619.0000000,8.842.0000000,392.148
02/04/10,00:00:00,8.842.0000000,8.936.0000000,8.787.0000000,8.850.0000000,287.966
05/04/10,00:00:00,8.850.0000000,8.913.0000000,8.783.0000000,8.905.0000000,301.379
06/04/10,00:00:00,8.904.0000000,8.939.0000000,8.726.0000000,8.877.0000000,358.963
07/04/10,00:00:00,8.875.0000000,8.916.0000000,8.592.0000000,8.602.0000000,373.389
08/04/10,00:00:00,8.601.0000000,8.606.0000000,8.455.0000000,8.565.0000000,354.103
