<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
04/01/16,11:00:00,10323.0000000,10383.0000000,10295.0000000,10328.0000000,48500
04/01/16,12:00:00,10326.0000000,10326.0000000,10029.0000000,10072.0000000,131969
04/01/16,13:00:00,10072.0000000,10087.0000000,10022.0000000,10067.0000000,39345
04/01/16,14:00:00,10067.0000000,10100.0000000,10055.0000000,10090.0000000,23205
04/01/16,15:00:00,10089.0000000,10115.0000000,10034.0000000,10069.0000000,36269
04/01/16,16:00:00,10070.0000000,10079.0000000,10040.0000000,10049.0000000,17351
04/01/16,17:00:00,10050.0000000,10088.0000000,10039.0000000,10067.0000000,24182
04/01/16,18:00:00,10068.0000000,10075.0000000,10032.0000000,10061.0000000,22098
04/01/16,19:00:00,10060.0000000,10067.0000000,9996.0000000,10012.0000000,38798
04/01/16,20:00:00,10012.0000000,10023.0000000,9919.0000000,9944.0000000,19973
04/01/16,21:00:00,9945.0000000,9973.0000000,9930.0000000,9964.0000000,12039
04/01/16,22:00:00,9965.0000000,10007.0000000,9962.0000000,9990.0000000,9379
04/01/16,23:00:00,9986.0000000,9996.0000000,9979.0000000,9981.0000000,5076
05/01/16,00:00:00,9984.0000000,9999.0000000,9975.0000000,9985.0000000,3792
05/01/16,11:00:00,9999.0000000,10123.0000000,9987.0000000,10063.0000000,68036
05/01/16,12:00:00,10062.0000000,10102.0000000,10013.0000000,10028.0000000,47857
05/01/16,13:00:00,10028.0000000,10053.0000000,9994.0000000,10024.0000000,25458
05/01/16,14:00:00,10028.0000000,10034.0000000,9925.0000000,9940.0000000,38695
05/01/16,15:00:00,9943.0000000,9958.0000000,9913.0000000,9944.0000000,20150
05/01/16,16:00:00,9944.0000000,9946.0000000,9901.0000000,9935.0000000,22103
05/01/16,17:00:00,9936.0000000,10073.0000000,9929.0000000,10015.0000000,63448
05/01/16,18:00:00,10012.0000000,10029.0000000,9975.0000000,10013.0000000,35546
05/01/16,19:00:00,10013.0000000,10119.0000000,10002.0000000,10100.0000000,47389
05/01/16,20:00:00,10100.0000000,10157.0000000,10100.0000000,10129.0000000,13492
05/01/16,21:00:00,10132.0000000,10138.0000000,10087.0000000,10095.0000000,10501
05/01/16,22:00:00,10098.0000000,10134.0000000,10088.0000000,10128.0000000,4028
05/01/16,23:00:00,10127.0000000,10132.0000000,10102.0000000,10120.0000000,1981
06/01/16,00:00:00,10123.0000000,10129.0000000,10103.0000000,10108.0000000,4586
06/01/16,11:00:00,10106.0000000,10155.0000000,10060.0000000,10094.0000000,57657
06/01/16,12:00:00,10093.0000000,10104.0000000,10027.0000000,10059.0000000,42936
06/01/16,13:00:00,10059.0000000,10078.0000000,10008.0000000,10034.0000000,23663
06/01/16,14:00:00,10035.0000000,10053.0000000,9971.0000000,9977.0000000,32358
06/01/16,15:00:00,9977.0000000,9987.0000000,9954.0000000,9976.0000000,21619
06/01/16,16:00:00,9976.0000000,10025.0000000,9953.0000000,10007.0000000,24365
06/01/16,17:00:00,10007.0000000,10012.0000000,9945.0000000,9975.0000000,26685
06/01/16,18:00:00,9974.0000000,9991.0000000,9938.0000000,9951.0000000,33386
06/01/16,19:00:00,9944.0000000,9951.0000000,9873.0000000,9883.0000000,57973
06/01/16,20:00:00,9881.0000000,9884.0000000,9850.0000000,9863.0000000,12571
06/01/16,21:00:00,9863.0000000,9877.0000000,9856.0000000,9861.0000000,3049
06/01/16,22:00:00,9861.0000000,9867.0000000,9837.0000000,9843.0000000,6599
06/01/16,23:00:00,9841.0000000,9868.0000000,9838.0000000,9845.0000000,3915
07/01/16,00:00:00,9848.0000000,9866.0000000,9843.0000000,9844.0000000,6274
11/01/16,11:00:00,9842.0000000,9842.0000000,9456.0000000,9547.0000000,166771
11/01/16,12:00:00,9546.0000000,9594.0000000,9475.0000000,9515.0000000,84396
11/01/16,13:00:00,9516.0000000,9540.0000000,9484.0000000,9504.0000000,35250
11/01/16,14:00:00,9506.0000000,9509.0000000,9450.0000000,9477.0000000,39184
11/01/16,15:00:00,9483.0000000,9496.0000000,9408.0000000,9433.0000000,55962
11/01/16,16:00:00,9433.0000000,9463.0000000,9425.0000000,9447.0000000,21875
11/01/16,17:00:00,9450.0000000,9450.0000000,9400.0000000,9425.0000000,76134
11/01/16,18:00:00,9423.0000000,9459.0000000,9392.0000000,9411.0000000,36739
11/01/16,19:00:00,9408.0000000,9410.0000000,9287.0000000,9308.0000000,71383
11/01/16,20:00:00,9294.0000000,9312.0000000,9211.0000000,9252.0000000,39520
11/01/16,21:00:00,9252.0000000,9255.0000000,9214.0000000,9228.0000000,15364
11/01/16,22:00:00,9228.0000000,9228.0000000,9175.0000000,9195.0000000,16790
11/01/16,23:00:00,9197.0000000,9239.0000000,9193.0000000,9214.0000000,12979
12/01/16,00:00:00,9216.0000000,9282.0000000,9191.0000000,9260.0000000,16919
12/01/16,11:00:00,9260.0000000,9260.0000000,9057.0000000,9133.0000000,168747
12/01/16,12:00:00,9133.0000000,9339.0000000,9130.0000000,9298.0000000,148189
12/01/16,13:00:00,9298.0000000,9414.0000000,9285.0000000,9397.0000000,133333
12/01/16,14:00:00,9397.0000000,9484.0000000,9334.0000000,9464.0000000,104928
12/01/16,15:00:00,9456.0000000,9464.0000000,9374.0000000,9381.0000000,65066
12/01/16,16:00:00,9382.0000000,9423.0000000,9350.0000000,9383.0000000,56784
12/01/16,17:00:00,9383.0000000,9464.0000000,9367.0000000,9450.0000000,61192
12/01/16,18:00:00,9449.0000000,9462.0000000,9401.0000000,9432.0000000,63785
12/01/16,19:00:00,9434.0000000,9447.0000000,9351.0000000,9374.0000000,63818
12/01/16,20:00:00,9364.0000000,9377.0000000,9261.0000000,9287.0000000,36087
12/01/16,21:00:00,9289.0000000,9348.0000000,9271.0000000,9278.0000000,17833
12/01/16,22:00:00,9279.0000000,9314.0000000,9271.0000000,9294.0000000,7953
12/01/16,23:00:00,9292.0000000,9351.0000000,9265.0000000,9336.0000000,18026
13/01/16,00:00:00,9338.0000000,9369.0000000,9317.0000000,9346.0000000,8345
13/01/16,11:00:00,9346.0000000,9545.0000000,9346.0000000,9522.0000000,132621
13/01/16,12:00:00,9520.0000000,9575.0000000,9471.0000000,9513.0000000,109939
13/01/16,13:00:00,9516.0000000,9521.0000000,9428.0000000,9446.0000000,66731
13/01/16,14:00:00,9445.0000000,9513.0000000,9444.0000000,9505.0000000,39184
13/01/16,15:00:00,9501.0000000,9519.0000000,9455.0000000,9460.0000000,29684
13/01/16,16:00:00,9457.0000000,9502.0000000,9454.0000000,9492.0000000,26657
13/01/16,17:00:00,9491.0000000,9528.0000000,9465.0000000,9496.0000000,37341
13/01/16,18:00:00,9493.0000000,9509.0000000,9446.0000000,9474.0000000,33623
13/01/16,19:00:00,9475.0000000,9482.0000000,9302.0000000,9325.0000000,102620
13/01/16,20:00:00,9328.0000000,9388.0000000,9322.0000000,9327.0000000,27693
13/01/16,21:00:00,9325.0000000,9349.0000000,9308.0000000,9321.0000000,11368
13/01/16,22:00:00,9320.0000000,9335.0000000,9292.0000000,9300.0000000,17991
13/01/16,23:00:00,9299.0000000,9317.0000000,9223.0000000,9230.0000000,24689
14/01/16,00:00:00,9233.0000000,9260.0000000,9226.0000000,9238.0000000,10519
14/01/16,11:00:00,9250.0000000,9359.0000000,9240.0000000,9346.0000000,90798
14/01/16,12:00:00,9343.0000000,9349.0000000,9281.0000000,9318.0000000,69335
14/01/16,13:00:00,9320.0000000,9339.0000000,9217.0000000,9328.0000000,74166
14/01/16,14:00:00,9325.0000000,9325.0000000,9274.0000000,9297.0000000,36367
14/01/16,15:00:00,9297.0000000,9297.0000000,9245.0000000,9275.0000000,35279
14/01/16,16:00:00,9273.0000000,9400.0000000,9264.0000000,9380.0000000,79496
14/01/16,17:00:00,9380.0000000,9429.0000000,9327.0000000,9405.0000000,87468
14/01/16,18:00:00,9404.0000000,9430.0000000,9303.0000000,9308.0000000,73632
14/01/16,19:00:00,9307.0000000,9547.0000000,9280.0000000,9543.0000000,120847
14/01/16,20:00:00,9540.0000000,9540.0000000,9450.0000000,9469.0000000,31438
14/01/16,21:00:00,9472.0000000,9500.0000000,9460.0000000,9478.0000000,16846
14/01/16,22:00:00,9477.0000000,9549.0000000,9471.0000000,9531.0000000,17983
14/01/16,23:00:00,9532.0000000,9544.0000000,9521.0000000,9543.0000000,8337
15/01/16,00:00:00,9543.0000000,9565.0000000,9526.0000000,9538.0000000,13535
15/01/16,11:00:00,9531.0000000,9531.0000000,9351.0000000,9450.0000000,107968
15/01/16,12:00:00,9450.0000000,9475.0000000,9293.0000000,9312.0000000,137750
15/01/16,13:00:00,9315.0000000,9364.0000000,9299.0000000,9331.0000000,53653
15/01/16,14:00:00,9331.0000000,9334.0000000,9047.0000000,9056.0000000,208826
15/01/16,15:00:00,9057.0000000,9127.0000000,9023.0000000,9114.0000000,115577
15/01/16,16:00:00,9114.0000000,9115.0000000,8966.0000000,9030.0000000,100832
15/01/16,17:00:00,9029.0000000,9031.0000000,8857.0000000,8906.0000000,119054
15/01/16,18:00:00,8909.0000000,8963.0000000,8878.0000000,8888.0000000,86918
15/01/16,19:00:00,8888.0000000,8928.0000000,8881.0000000,8916.0000000,35346
15/01/16,20:00:00,8903.0000000,8903.0000000,8831.0000000,8848.0000000,24550
15/01/16,21:00:00,8847.0000000,8848.0000000,8773.0000000,8815.0000000,21886
15/01/16,22:00:00,8818.0000000,8921.0000000,8797.0000000,8891.0000000,22793
15/01/16,23:00:00,8891.0000000,8908.0000000,8861.0000000,8907.0000000,17877
16/01/16,00:00:00,8907.0000000,8948.0000000,8907.0000000,8940.0000000,19427
18/01/16,11:00:00,8930.0000000,8930.0000000,8701.0000000,8835.0000000,178087
18/01/16,12:00:00,8837.0000000,8993.0000000,8836.0000000,8910.0000000,150121
18/01/16,13:00:00,8911.0000000,8965.0000000,8880.0000000,8932.0000000,74784
18/01/16,14:00:00,8933.0000000,8947.0000000,8833.0000000,8937.0000000,76841
18/01/16,15:00:00,8936.0000000,8987.0000000,8892.0000000,8913.0000000,74694
18/01/16,16:00:00,8913.0000000,8945.0000000,8760.0000000,8803.0000000,96277
18/01/16,17:00:00,8805.0000000,8859.0000000,8747.0000000,8815.0000000,78535
18/01/16,18:00:00,8815.0000000,8859.0000000,8730.0000000,8803.0000000,63730
18/01/16,19:00:00,8806.0000000,8828.0000000,8767.0000000,8790.0000000,29566
18/01/16,20:00:00,8785.0000000,8800.0000000,8735.0000000,8772.0000000,15559
18/01/16,21:00:00,8771.0000000,8792.0000000,8754.0000000,8768.0000000,14562
18/01/16,22:00:00,8768.0000000,8794.0000000,8763.0000000,8781.0000000,5034
18/01/16,23:00:00,8785.0000000,8788.0000000,8768.0000000,8778.0000000,7129
19/01/16,00:00:00,8779.0000000,8820.0000000,8768.0000000,8801.0000000,8356
19/01/16,11:00:00,8819.0000000,9088.0000000,8819.0000000,9051.0000000,172143
19/01/16,12:00:00,9054.0000000,9087.0000000,8995.0000000,9041.0000000,97860
19/01/16,13:00:00,9043.0000000,9053.0000000,8973.0000000,9050.0000000,55771
19/01/16,14:00:00,9050.0000000,9118.0000000,9027.0000000,9051.0000000,104215
19/01/16,15:00:00,9054.0000000,9135.0000000,9054.0000000,9124.0000000,58900
19/01/16,16:00:00,9123.0000000,9128.0000000,9016.0000000,9018.0000000,65073
19/01/16,17:00:00,9018.0000000,9039.0000000,8981.0000000,9012.0000000,56642
19/01/16,18:00:00,9014.0000000,9017.0000000,8779.0000000,8825.0000000,159576
19/01/16,19:00:00,8823.0000000,8850.0000000,8738.0000000,8825.0000000,104338
19/01/16,20:00:00,8824.0000000,8866.0000000,8770.0000000,8830.0000000,30352
19/01/16,21:00:00,8829.0000000,8831.0000000,8796.0000000,8809.0000000,19876
19/01/16,22:00:00,8809.0000000,8819.0000000,8758.0000000,8767.0000000,12593
19/01/16,23:00:00,8767.0000000,8776.0000000,8634.0000000,8670.0000000,41313
20/01/16,00:00:00,8670.0000000,8744.0000000,8666.0000000,8744.0000000,18215
20/01/16,11:00:00,8723.0000000,8723.0000000,8443.0000000,8480.0000000,189564
20/01/16,12:00:00,8478.0000000,8540.0000000,8373.0000000,8417.0000000,148588
20/01/16,13:00:00,8418.0000000,8540.0000000,8410.0000000,8510.0000000,98246
20/01/16,14:00:00,8509.0000000,8587.0000000,8492.0000000,8555.0000000,89743
20/01/16,15:00:00,8555.0000000,8555.0000000,8465.0000000,8518.0000000,72793
20/01/16,16:00:00,8516.0000000,8538.0000000,8426.0000000,8521.0000000,89853
20/01/16,17:00:00,8523.0000000,8563.0000000,8473.0000000,8554.0000000,83856
20/01/16,18:00:00,8554.0000000,8592.0000000,8461.0000000,8491.0000000,115363
20/01/16,19:00:00,8491.0000000,8563.0000000,8485.0000000,8540.0000000,62552
20/01/16,20:00:00,8522.0000000,8569.0000000,8473.0000000,8501.0000000,24420
20/01/16,21:00:00,8501.0000000,8514.0000000,8417.0000000,8475.0000000,33958
20/01/16,22:00:00,8477.0000000,8576.0000000,8446.0000000,8549.0000000,25141
20/01/16,23:00:00,8549.0000000,8639.0000000,8528.0000000,8630.0000000,34040
21/01/16,00:00:00,8630.0000000,8730.0000000,8608.0000000,8700.0000000,32498
21/01/16,11:00:00,8689.0000000,8689.0000000,8476.0000000,8519.0000000,150980
21/01/16,12:00:00,8521.0000000,8700.0000000,8521.0000000,8615.0000000,176645
21/01/16,13:00:00,8615.0000000,8726.0000000,8534.0000000,8715.0000000,160869
21/01/16,14:00:00,8716.0000000,8815.0000000,8710.0000000,8756.0000000,95792
21/01/16,15:00:00,8751.0000000,8792.0000000,8709.0000000,8771.0000000,58187
21/01/16,16:00:00,8773.0000000,8799.0000000,8761.0000000,8780.0000000,39262
21/01/16,17:00:00,8783.0000000,8867.0000000,8740.0000000,8803.0000000,107407
21/01/16,18:00:00,8807.0000000,8867.0000000,8763.0000000,8773.0000000,67926
21/01/16,19:00:00,8776.0000000,8801.0000000,8701.0000000,8735.0000000,81705
21/01/16,20:00:00,8736.0000000,8870.0000000,8736.0000000,8858.0000000,32705
21/01/16,21:00:00,8859.0000000,8899.0000000,8832.0000000,8853.0000000,24441
21/01/16,22:00:00,8850.0000000,8885.0000000,8810.0000000,8817.0000000,15063
21/01/16,23:00:00,8817.0000000,8885.0000000,8760.0000000,8843.0000000,23658
22/01/16,00:00:00,8847.0000000,8853.0000000,8815.0000000,8831.0000000,7886
22/01/16,11:00:00,8845.0000000,9088.0000000,8845.0000000,9028.0000000,162029
22/01/16,12:00:00,9029.0000000,9033.0000000,8908.0000000,9011.0000000,135815
22/01/16,13:00:00,9013.0000000,9063.0000000,8923.0000000,8966.0000000,87323
22/01/16,14:00:00,8969.0000000,9031.0000000,8955.0000000,9004.0000000,40527
22/01/16,15:00:00,9004.0000000,9195.0000000,9004.0000000,9155.0000000,199986
22/01/16,16:00:00,9155.0000000,9254.0000000,9151.0000000,9183.0000000,142001
22/01/16,17:00:00,9183.0000000,9248.0000000,9125.0000000,9232.0000000,92936
22/01/16,18:00:00,9232.0000000,9363.0000000,9232.0000000,9357.0000000,141081
22/01/16,19:00:00,9357.0000000,9378.0000000,9263.0000000,9280.0000000,88801
22/01/16,20:00:00,9273.0000000,9300.0000000,9217.0000000,9236.0000000,26986
22/01/16,21:00:00,9235.0000000,9279.0000000,9233.0000000,9262.0000000,12691
22/01/16,22:00:00,9262.0000000,9332.0000000,9253.0000000,9328.0000000,17177
