<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
03/01/19,00:00:00,3450.0000000,3492.0000000,3425.0000000,3484.0000000,34054
04/01/19,00:00:00,3484.0000000,3525.0000000,3477.0000000,3525.0000000,29073
08/01/19,00:00:00,3521.0000000,3558.0000000,3504.0000000,3549.0000000,27806
09/01/19,00:00:00,3550.0000000,3573.0000000,3542.0000000,3567.0000000,33353
10/01/19,00:00:00,3562.0000000,3570.0000000,3521.0000000,3565.0000000,49450
11/01/19,00:00:00,3568.0000000,3598.0000000,3542.0000000,3553.0000000,55153
14/01/19,00:00:00,3552.0000000,3586.0000000,3535.0000000,3570.0000000,34863
15/01/19,00:00:00,3573.0000000,3632.0000000,3573.0000000,3612.0000000,56375
16/01/19,00:00:00,3613.0000000,3624.0000000,3589.0000000,3616.0000000,34612
17/01/19,00:00:00,3616.0000000,3632.0000000,3604.0000000,3623.0000000,38261
18/01/19,00:00:00,3629.0000000,3770.0000000,3629.0000000,3759.0000000,87231
21/01/19,00:00:00,3759.0000000,3814.0000000,3725.0000000,3735.0000000,75625
22/01/19,00:00:00,3730.0000000,3780.0000000,3708.0000000,3746.0000000,66158
23/01/19,00:00:00,3747.0000000,3818.0000000,3745.0000000,3785.0000000,66079
24/01/19,00:00:00,3789.0000000,3844.0000000,3718.0000000,3736.0000000,104563
25/01/19,00:00:00,3737.0000000,3768.0000000,3707.0000000,3739.0000000,57070
28/01/19,00:00:00,3740.0000000,3787.0000000,3716.0000000,3746.0000000,59939
29/01/19,00:00:00,3741.0000000,3789.0000000,3715.0000000,3764.0000000,74514
30/01/19,00:00:00,3766.0000000,3808.0000000,3760.0000000,3798.0000000,45115
31/01/19,00:00:00,3806.0000000,3828.0000000,3781.0000000,3802.0000000,50450
01/02/19,00:00:00,3793.0000000,3847.0000000,3792.0000000,3830.0000000,69332
04/02/19,00:00:00,3834.0000000,3881.0000000,3830.0000000,3881.0000000,42930
05/02/19,00:00:00,3881.0000000,3889.0000000,3845.0000000,3847.0000000,50907
06/02/19,00:00:00,3852.0000000,3854.0000000,3673.0000000,3787.0000000,68269
07/02/19,00:00:00,3784.0000000,3787.0000000,3711.0000000,3725.0000000,43282
08/02/19,00:00:00,3719.0000000,3766.0000000,3707.0000000,3756.0000000,39123
11/02/19,00:00:00,3748.0000000,3794.0000000,3745.0000000,3790.0000000,43216
12/02/19,00:00:00,3790.0000000,3836.0000000,3790.0000000,3809.0000000,43347
13/02/19,00:00:00,3812.0000000,3833.0000000,3677.0000000,3679.0000000,93116
14/02/19,00:00:00,3678.0000000,3686.0000000,3590.0000000,3659.0000000,101515
15/02/19,00:00:00,3659.0000000,3693.0000000,3642.0000000,3684.0000000,45419
18/02/19,00:00:00,3691.0000000,3718.0000000,3633.0000000,3659.0000000,34642
19/02/19,00:00:00,3660.0000000,3697.0000000,3623.0000000,3665.0000000,63599
20/02/19,00:00:00,3655.0000000,3680.0000000,3649.0000000,3658.0000000,36176
21/02/19,00:00:00,3664.0000000,3673.0000000,3599.0000000,3609.0000000,50424
22/02/19,00:00:00,3619.0000000,3650.0000000,3611.0000000,3634.0000000,29093
25/02/19,00:00:00,3640.0000000,3660.0000000,3610.0000000,3631.0000000,42434
26/02/19,00:00:00,3632.0000000,3647.0000000,3600.0000000,3628.0000000,38574
27/02/19,00:00:00,3622.0000000,3622.0000000,3584.0000000,3608.0000000,52729
28/02/19,00:00:00,3607.0000000,3632.0000000,3595.0000000,3607.0000000,45615
01/03/19,00:00:00,3606.0000000,3625.0000000,3592.0000000,3609.0000000,32715
04/03/19,00:00:00,3613.0000000,3631.0000000,3572.0000000,3596.0000000,39404
05/03/19,00:00:00,3588.0000000,3602.0000000,3540.0000000,3557.0000000,59856
06/03/19,00:00:00,3553.0000000,3559.0000000,3531.0000000,3553.0000000,36312
07/03/19,00:00:00,3551.0000000,3556.0000000,3520.0000000,3529.0000000,27565
11/03/19,00:00:00,3502.0000000,3522.0000000,3470.0000000,3522.0000000,3622
12/03/19,00:00:00,3523.0000000,3538.0000000,3505.0000000,3530.0000000,2395
13/03/19,00:00:00,3530.0000000,3615.0000000,3521.0000000,3603.0000000,4406
14/03/19,00:00:00,3614.0000000,3648.0000000,3562.0000000,3592.0000000,8429
15/03/19,00:00:00,3597.0000000,3688.0000000,3551.0000000,3673.0000000,8348
18/03/19,00:00:00,3655.0000000,3672.0000000,3635.0000000,3667.0000000,18321
19/03/19,00:00:00,3668.0000000,3668.0000000,3630.0000000,3652.0000000,14456
20/03/19,00:00:00,3653.0000000,3660.0000000,3635.0000000,3648.0000000,48503
21/03/19,00:00:00,3651.0000000,3657.0000000,3598.0000000,3610.0000000,52170
22/03/19,00:00:00,3611.0000000,3616.0000000,3547.0000000,3559.0000000,43236
25/03/19,00:00:00,3552.0000000,3609.0000000,3532.0000000,3588.0000000,42568
26/03/19,00:00:00,3591.0000000,3611.0000000,3562.0000000,3574.0000000,29637
27/03/19,00:00:00,3574.0000000,3593.0000000,3546.0000000,3554.0000000,26837
28/03/19,00:00:00,3555.0000000,3569.0000000,3547.0000000,3561.0000000,19945
29/03/19,00:00:00,3568.0000000,3600.0000000,3500.0000000,3525.0000000,61824
01/04/19,00:00:00,3525.0000000,3575.0000000,3525.0000000,3561.0000000,48249
02/04/19,00:00:00,3559.0000000,3586.0000000,3545.0000000,3576.0000000,42683
03/04/19,00:00:00,3577.0000000,3616.0000000,3577.0000000,3602.0000000,48555
04/04/19,00:00:00,3603.0000000,3609.0000000,3577.0000000,3592.0000000,31020
05/04/19,00:00:00,3590.0000000,3603.0000000,3556.0000000,3582.0000000,32002
08/04/19,00:00:00,3581.0000000,3595.0000000,3560.0000000,3570.0000000,26899
09/04/19,00:00:00,3573.0000000,3593.0000000,3566.0000000,3575.0000000,29930
10/04/19,00:00:00,3580.0000000,3719.0000000,3570.0000000,3621.0000000,174456
11/04/19,00:00:00,3622.0000000,3633.0000000,3519.0000000,3553.0000000,76176
12/04/19,00:00:00,3555.0000000,3575.0000000,3536.0000000,3545.0000000,37975
15/04/19,00:00:00,3546.0000000,3555.0000000,3503.0000000,3514.0000000,39329
16/04/19,00:00:00,3514.0000000,3533.0000000,3484.0000000,3520.0000000,52245
17/04/19,00:00:00,3520.0000000,3525.0000000,3501.0000000,3503.0000000,33922
18/04/19,00:00:00,3502.0000000,3524.0000000,3487.0000000,3517.0000000,27117
19/04/19,00:00:00,3517.0000000,3522.0000000,3488.0000000,3503.0000000,18395
22/04/19,00:00:00,3506.0000000,3523.0000000,3486.0000000,3495.0000000,25772
23/04/19,00:00:00,3499.0000000,3515.0000000,3441.0000000,3453.0000000,100845
24/04/19,00:00:00,3453.0000000,3528.0000000,3450.0000000,3516.0000000,69083
25/04/19,00:00:00,3516.0000000,3529.0000000,3478.0000000,3484.0000000,41942
26/04/19,00:00:00,3483.0000000,3491.0000000,3455.0000000,3481.0000000,39925
29/04/19,00:00:00,3485.0000000,3517.0000000,3478.0000000,3492.0000000,30565
30/04/19,00:00:00,3495.0000000,3511.0000000,3460.0000000,3504.0000000,32649
02/05/19,00:00:00,3502.0000000,3526.0000000,3480.0000000,3514.0000000,36900
03/05/19,00:00:00,3503.0000000,3550.0000000,3493.0000000,3538.0000000,28387
06/05/19,00:00:00,3530.0000000,3530.0000000,3484.0000000,3506.0000000,21437
07/05/19,00:00:00,3506.0000000,3546.0000000,3497.0000000,3506.0000000,34065
08/05/19,00:00:00,3506.0000000,3511.0000000,3490.0000000,3496.0000000,28317
10/05/19,00:00:00,3502.0000000,3502.0000000,3445.0000000,3466.0000000,36579
13/05/19,00:00:00,3466.0000000,3476.0000000,3429.0000000,3446.0000000,30334
14/05/19,00:00:00,3448.0000000,3460.0000000,3430.0000000,3435.0000000,35046
15/05/19,00:00:00,3437.0000000,3467.0000000,3418.0000000,3450.0000000,57780
16/05/19,00:00:00,3450.0000000,3456.0000000,3429.0000000,3430.0000000,28459
17/05/19,00:00:00,3431.0000000,3450.0000000,3416.0000000,3433.0000000,30377
20/05/19,00:00:00,3435.0000000,3448.0000000,3426.0000000,3428.0000000,22571
21/05/19,00:00:00,3435.0000000,3445.0000000,3382.0000000,3425.0000000,37656
22/05/19,00:00:00,3421.0000000,3464.0000000,3410.0000000,3441.0000000,39254
23/05/19,00:00:00,3437.0000000,3912.0000000,3431.0000000,3880.0000000,309393
24/05/19,00:00:00,3888.0000000,3926.0000000,3617.0000000,3646.0000000,351699
27/05/19,00:00:00,3639.0000000,3715.0000000,3639.0000000,3697.0000000,72663
28/05/19,00:00:00,3697.0000000,3740.0000000,3580.0000000,3595.0000000,111364
29/05/19,00:00:00,3587.0000000,3620.0000000,3554.0000000,3597.0000000,115358
30/05/19,00:00:00,3598.0000000,3640.0000000,3542.0000000,3569.0000000,118474
31/05/19,00:00:00,3563.0000000,3598.0000000,3528.0000000,3552.0000000,65571
03/06/19,00:00:00,3558.0000000,3655.0000000,3548.0000000,3617.0000000,139859
04/06/19,00:00:00,3620.0000000,3675.0000000,3601.0000000,3654.0000000,109574
05/06/19,00:00:00,3654.0000000,3838.0000000,3630.0000000,3777.0000000,248323
06/06/19,00:00:00,3784.0000000,3850.0000000,3753.0000000,3815.0000000,122934
07/06/19,00:00:00,3819.0000000,3833.0000000,3782.0000000,3806.0000000,50076
10/06/19,00:00:00,3900.0000000,3957.0000000,3900.0000000,3920.0000000,4632
11/06/19,00:00:00,3930.0000000,4098.0000000,3920.0000000,4007.0000000,8226
13/06/19,00:00:00,4006.0000000,4069.0000000,3971.0000000,4051.0000000,7017
14/06/19,00:00:00,4048.0000000,4079.0000000,4010.0000000,4010.0000000,5010
17/06/19,00:00:00,4017.0000000,4096.0000000,4004.0000000,4053.0000000,9928
18/06/19,00:00:00,4053.0000000,4053.0000000,3982.0000000,4016.0000000,30968
19/06/19,00:00:00,4019.0000000,4052.0000000,3986.0000000,4007.0000000,45738
20/06/19,00:00:00,4015.0000000,4038.0000000,3990.0000000,4022.0000000,79792
